agent-type,agent-id,stance?,received-IP-list,sent-IP-list,IdentitySignature,topic
ID-31,0,[],[],0
ID-32,0,[],[],0
ID-33,-3,[IP-1 IP-2],[IP-2],topic-1
ID-34,-3,[IP-2],[IP-2],topic-1
ID-35,-3,[IP-2],[IP-2],topic-1
ID-36,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-37,3,[IP-2],[IP-1 IP-2],topic-2
ID-38,0,[],[],0
ID-39,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-40,-3,[IP-1],[IP-1 IP-2],topic-1
ID-101,-3,[IP-1],[IP-1],topic-1
ID-102,3,[IP-2],[IP-2],topic-2
ID-111,0,[],[],0
At tick 11
id of turtle,stance at tick 11,received-IP-list at tick 11,sent-IP-list at tick 11,topic at tick 11
ID-1,3,[IP-1 IP-2],[],topic-2
ID-2,-3,[IP-1],[],topic-1
ID-3,-3,[IP-1],[],topic-1
ID-4,3,[IP-2 IP-1],[],topic-2
ID-5,-3,[IP-1],[],topic-1
ID-6,-3,[IP-1],[IP-1],topic-1
ID-7,-3,[IP-2],[],topic-1
ID-8,3,[IP-2],[],topic-2
ID-9,3,[IP-1 IP-2],[],topic-2
ID-10,3,[IP-1 IP-2],[],topic-2
ID-11,-3,[IP-1 IP-2],[],topic-1
ID-12,-3,[IP-2],[],topic-1
ID-13,0,[],[],0
ID-14,-3,[IP-1 IP-2],[],topic-1
ID-15,-3,[IP-1 IP-2],[],topic-1
ID-16,-3,[IP-1 IP-2],[],topic-1
ID-17,3,[IP-1 IP-2],[],topic-2
ID-18,3,[IP-2],[IP-2],topic-2
ID-19,3,[IP-1 IP-2],[IP-1 IP-2],topic-2
ID-20,-3,[IP-2 IP-1],[IP-1],topic-1
ID-21,-3,[IP-1],[IP-1],topic-1
ID-22,0,[],[],0
ID-23,-3,[IP-2],[],topic-1
ID-24,0,[],[],0
ID-25,3,[IP-2],[],topic-2
ID-26,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-27,-3,[IP-1 IP-2],[IP-1],topic-1
ID-28,0,[],[],0
ID-29,-3,[IP-2],[],topic-1
ID-30,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-31,0,[],[],0
ID-32,0,[],[],0
ID-33,-3,[IP-1 IP-2],[IP-2],topic-1
ID-34,-3,[IP-2],[IP-2],topic-1
ID-35,-3,[IP-2],[IP-2],topic-1
ID-36,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-37,3,[IP-2],[IP-1 IP-2],topic-2
ID-38,0,[],[],0
ID-39,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-40,-3,[IP-1],[IP-1 IP-2],topic-1
ID-101,-3,[IP-1],[IP-1],topic-1
ID-102,3,[IP-2],[IP-2],topic-2
ID-111,0,[],[],0
At tick 12
id of turtle,stance at tick 12,received-IP-list at tick 12,sent-IP-list at tick 12,topic at tick 12
ID-1,-3,[IP-1 IP-2],[],topic-1
ID-2,-3,[IP-1],[],topic-1
ID-3,-3,[IP-1],[],topic-1
ID-4,3,[IP-2 IP-1],[],topic-2
ID-5,-3,[IP-1],[],topic-1
ID-6,-3,[IP-1 IP-2],[IP-1],topic-1
ID-7,-3,[IP-2],[],topic-1
ID-8,3,[IP-2],[],topic-2
ID-9,3,[IP-1 IP-2],[],topic-2
ID-10,3,[IP-1 IP-2],[],topic-2
ID-11,-3,[IP-1 IP-2],[],topic-1
ID-12,-3,[IP-2],[],topic-1
ID-13,0,[],[],0
ID-14,-3,[IP-1 IP-2],[],topic-1
ID-15,-3,[IP-1 IP-2],[],topic-1
ID-16,-3,[IP-1 IP-2],[],topic-1
ID-17,3,[IP-1 IP-2],[],topic-2
ID-18,3,[IP-2],[IP-2],topic-2
ID-19,3,[IP-1 IP-2],[IP-1 IP-2],topic-2
ID-20,-3,[IP-2 IP-1],[IP-1],topic-1
ID-21,-3,[IP-1],[IP-1],topic-1
ID-22,0,[],[],0
ID-23,-3,[IP-2],[],topic-1
ID-24,0,[],[],0
ID-25,3,[IP-2],[],topic-2
ID-26,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-27,-3,[IP-1 IP-2],[IP-1],topic-1
ID-28,0,[],[],0
ID-29,-3,[IP-2],[],topic-1
ID-30,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-31,0,[],[],0
ID-32,-3,[IP-2],[],topic-1
ID-33,-3,[IP-1 IP-2],[IP-2],topic-1
ID-34,-3,[IP-2],[IP-2],topic-1
ID-35,-3,[IP-2],[IP-2],topic-1
ID-36,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-37,3,[IP-2],[IP-1 IP-2],topic-2
ID-38,0,[],[],0
ID-39,3,[IP-1 IP-2],[IP-1 IP-2],topic-2
ID-40,-3,[IP-1],[IP-1 IP-2],topic-1
ID-101,-3,[IP-1],[IP-1],topic-1
ID-102,3,[IP-2],[IP-2],topic-2
ID-111,0,[],[],0
At tick 13
id of turtle,stance at tick 13,received-IP-list at tick 13,sent-IP-list at tick 13,topic at tick 13
ID-1,-3,[IP-1 IP-2],[],topic-1
ID-2,-3,[IP-1],[],topic-1
ID-3,-3,[IP-1 IP-2],[],topic-1
ID-4,3,[IP-2 IP-1],[],topic-2
ID-5,-3,[IP-1],[],topic-1
ID-6,-3,[IP-1 IP-2],[IP-1],topic-1
ID-7,-3,[IP-2],[],topic-1
ID-8,3,[IP-2],[],topic-2
ID-9,3,[IP-1 IP-2],[],topic-2
ID-10,3,[IP-1 IP-2],[],topic-2
ID-11,-3,[IP-1 IP-2],[],topic-1
ID-12,-3,[IP-2],[],topic-1
ID-13,0,[],[],0
ID-14,-3,[IP-1 IP-2],[],topic-1
ID-15,-3,[IP-1 IP-2],[],topic-1
ID-16,3,[IP-1 IP-2],[],topic-2
ID-17,3,[IP-1 IP-2],[],topic-2
ID-18,3,[IP-2],[IP-2],topic-2
ID-19,3,[IP-1 IP-2],[IP-1 IP-2],topic-2
ID-20,3,[IP-2 IP-1],[IP-1],topic-2
ID-21,-3,[IP-1],[IP-1],topic-1
ID-22,-3,[IP-2],[],topic-1
ID-23,-3,[IP-2],[],topic-1
ID-24,0,[],[],0
ID-25,3,[IP-2],[],topic-2
ID-26,3,[IP-1 IP-2],[IP-1 IP-2],topic-2
ID-27,-3,[IP-1 IP-2],[IP-1],topic-1
ID-28,3,[IP-2],[],topic-2
ID-29,-3,[IP-2],[],topic-1
ID-30,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-31,0,[],[],0
ID-32,-3,[IP-2],[],topic-1
ID-33,-3,[IP-1 IP-2],[IP-2],topic-1
ID-34,-3,[IP-2],[IP-2],topic-1
ID-35,-3,[IP-2],[IP-2],topic-1
ID-36,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-37,3,[IP-2],[IP-1 IP-2],topic-2
ID-38,0,[],[],0
ID-39,3,[IP-1 IP-2],[IP-1 IP-2],topic-2
ID-40,-3,[IP-1],[IP-1 IP-2],topic-1
ID-101,-3,[IP-1],[IP-1],topic-1
ID-102,3,[IP-2],[IP-2],topic-2
ID-111,0,[],[],0
At tick 14
id of turtle,stance at tick 14,received-IP-list at tick 14,sent-IP-list at tick 14,topic at tick 14
ID-1,-3,[IP-1 IP-2],[],topic-1
ID-2,-3,[IP-1],[],topic-1
ID-3,-3,[IP-1 IP-2],[],topic-1
ID-4,3,[IP-2 IP-1],[],topic-2
ID-5,-3,[IP-1],[],topic-1
ID-6,-3,[IP-1 IP-2],[IP-1],topic-1
ID-7,-3,[IP-2],[],topic-1
ID-8,3,[IP-2],[],topic-2
ID-9,3,[IP-1 IP-2],[],topic-2
ID-10,3,[IP-1 IP-2],[],topic-2
ID-11,-3,[IP-1 IP-2],[],topic-1
ID-12,-3,[IP-2],[],topic-1
ID-13,0,[],[],0
ID-14,-3,[IP-1 IP-2],[],topic-1
ID-15,3,[IP-1 IP-2],[],topic-2
ID-16,-3,[IP-1 IP-2],[],topic-1
ID-17,3,[IP-1 IP-2],[],topic-2
ID-18,3,[IP-2],[IP-2],topic-2
ID-19,3,[IP-1 IP-2],[IP-1 IP-2],topic-2
ID-20,3,[IP-2 IP-1],[IP-1],topic-2
ID-21,-3,[IP-1],[IP-1],topic-1
ID-22,-3,[IP-2],[],topic-1
ID-23,-3,[IP-2],[],topic-1
ID-24,0,[],[],0
ID-25,3,[IP-2],[],topic-2
ID-26,3,[IP-1 IP-2],[IP-1 IP-2],topic-2
ID-27,-3,[IP-1 IP-2],[IP-1],topic-1
ID-28,3,[IP-2],[],topic-2
ID-29,3,[IP-2],[],topic-2
ID-30,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-31,0,[],[],0
ID-32,-3,[IP-2],[],topic-1
ID-33,-3,[IP-1 IP-2],[IP-2],topic-1
ID-34,-3,[IP-2],[IP-2],topic-1
ID-35,-3,[IP-2],[IP-2],topic-1
ID-36,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-37,3,[IP-2],[IP-1 IP-2],topic-2
ID-38,0,[],[],0
ID-39,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-40,-3,[IP-1],[IP-1 IP-2],topic-1
ID-101,-3,[IP-1],[IP-1],topic-1
ID-102,3,[IP-2],[IP-2],topic-2
ID-111,0,[],[],0
At tick 15
id of turtle,stance at tick 15,received-IP-list at tick 15,sent-IP-list at tick 15,topic at tick 15
ID-1,-3,[IP-1 IP-2],[],topic-1
ID-2,-3,[IP-1],[],topic-1
ID-3,-3,[IP-1 IP-2],[],topic-1
ID-4,3,[IP-2 IP-1],[],topic-2
ID-5,-3,[IP-1 IP-2],[],topic-1
ID-6,-3,[IP-1 IP-2],[IP-1],topic-1
ID-7,-3,[IP-2],[],topic-1
ID-8,3,[IP-2],[],topic-2
ID-9,3,[IP-1 IP-2],[],topic-2
ID-10,3,[IP-1 IP-2],[],topic-2
ID-11,-3,[IP-1 IP-2],[],topic-1
ID-12,-3,[IP-2],[],topic-1
ID-13,0,[],[],0
ID-14,-3,[IP-1 IP-2],[],topic-1
ID-15,3,[IP-1 IP-2],[],topic-2
ID-16,-3,[IP-1 IP-2],[],topic-1
ID-17,3,[IP-1 IP-2],[],topic-2
ID-18,3,[IP-2],[IP-2],topic-2
ID-19,3,[IP-1 IP-2],[IP-1 IP-2],topic-2
ID-20,3,[IP-2 IP-1],[IP-1],topic-2
ID-21,-3,[IP-1 IP-2],[IP-1],topic-1
ID-22,-3,[IP-2],[],topic-1
ID-23,-3,[IP-2],[],topic-1
ID-24,0,[],[],0
ID-25,3,[IP-2],[],topic-2
ID-26,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-27,-3,[IP-1 IP-2],[IP-1],topic-1
ID-28,3,[IP-2],[],topic-2
ID-29,3,[IP-2],[],topic-2
ID-30,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-31,0,[],[],0
ID-32,-3,[IP-2],[],topic-1
ID-33,-3,[IP-1 IP-2],[IP-2],topic-1
ID-34,3,[IP-2],[IP-2],topic-2
ID-35,-3,[IP-2],[IP-2],topic-1
ID-36,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-37,-3,[IP-2],[IP-1 IP-2],topic-1
ID-38,0,[],[],0
ID-39,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-40,-3,[IP-1],[IP-1 IP-2],topic-1
ID-101,-3,[IP-1],[IP-1],topic-1
ID-102,3,[IP-2],[IP-2],topic-2
ID-111,0,[],[],0
At tick 16
id of turtle,stance at tick 16,received-IP-list at tick 16,sent-IP-list at tick 16,topic at tick 16
ID-1,-3,[IP-1 IP-2],[],topic-1
ID-2,-3,[IP-1],[],topic-1
ID-3,-3,[IP-1 IP-2],[],topic-1
ID-4,3,[IP-2 IP-1],[],topic-2
ID-5,-3,[IP-1 IP-2],[],topic-1
ID-6,-3,[IP-1 IP-2],[IP-1],topic-1
ID-7,-3,[IP-2],[],topic-1
ID-8,3,[IP-2],[],topic-2
ID-9,3,[IP-1 IP-2],[],topic-2
ID-10,3,[IP-1 IP-2],[],topic-2
ID-11,-3,[IP-1 IP-2],[],topic-1
ID-12,-3,[IP-2],[],topic-1
ID-13,-3,[IP-2],[],topic-1
ID-14,-3,[IP-1 IP-2],[],topic-1
ID-15,3,[IP-1 IP-2],[],topic-2
ID-16,-3,[IP-1 IP-2],[],topic-1
ID-17,3,[IP-1 IP-2],[],topic-2
ID-18,3,[IP-2],[IP-2],topic-2
ID-19,3,[IP-1 IP-2],[IP-1 IP-2],topic-2
ID-20,3,[IP-2 IP-1],[IP-1],topic-2
ID-21,-3,[IP-1 IP-2],[IP-1],topic-1
ID-22,-3,[IP-2],[IP-2],topic-1
ID-23,-3,[IP-2],[],topic-1
ID-24,0,[],[],0
ID-25,3,[IP-2],[],topic-2
ID-26,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-27,-3,[IP-1 IP-2],[IP-1],topic-1
ID-28,3,[IP-2],[],topic-2
ID-29,3,[IP-2],[],topic-2
ID-30,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-31,0,[],[],0
ID-32,-3,[IP-2],[],topic-1
ID-33,-3,[IP-1 IP-2],[IP-2],topic-1
ID-34,3,[IP-2],[IP-2],topic-2
ID-35,-3,[IP-2],[IP-2],topic-1
ID-36,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-37,3,[IP-2],[IP-1 IP-2],topic-2
ID-38,0,[],[],0
ID-39,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-40,-3,[IP-1],[IP-1 IP-2],topic-1
ID-101,-3,[IP-1],[IP-1],topic-1
ID-102,3,[IP-2],[IP-2],topic-2
ID-111,0,[],[],0
At tick 17
id of turtle,stance at tick 17,received-IP-list at tick 17,sent-IP-list at tick 17,topic at tick 17
ID-1,-3,[IP-1 IP-2],[],topic-1
ID-2,-3,[IP-1],[],topic-1
ID-3,-3,[IP-1 IP-2],[],topic-1
ID-4,3,[IP-2 IP-1],[],topic-2
ID-5,-3,[IP-1 IP-2],[],topic-1
ID-6,-3,[IP-1 IP-2],[IP-1],topic-1
ID-7,-3,[IP-2],[],topic-1
ID-8,3,[IP-2],[],topic-2
ID-9,3,[IP-1 IP-2],[],topic-2
ID-10,-3,[IP-1 IP-2],[],topic-1
ID-11,-3,[IP-1 IP-2],[],topic-1
ID-12,-3,[IP-2],[],topic-1
ID-13,-3,[IP-2],[],topic-1
ID-14,-3,[IP-1 IP-2],[],topic-1
ID-15,3,[IP-1 IP-2],[],topic-2
ID-16,-3,[IP-1 IP-2],[],topic-1
ID-17,3,[IP-1 IP-2],[],topic-2
ID-18,3,[IP-2],[IP-2],topic-2
ID-19,3,[IP-1 IP-2],[IP-1 IP-2],topic-2
ID-20,3,[IP-2 IP-1],[IP-1],topic-2
ID-21,-3,[IP-1 IP-2],[IP-1],topic-1
ID-22,-3,[IP-2],[IP-2],topic-1
ID-23,-3,[IP-2],[],topic-1
ID-24,0,[],[],0
ID-25,3,[IP-2],[],topic-2
ID-26,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-27,-3,[IP-1 IP-2],[IP-1],topic-1
ID-28,3,[IP-2],[],topic-2
ID-29,3,[IP-2],[],topic-2
ID-30,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-31,0,[],[],0
ID-32,-3,[IP-2],[IP-2],topic-1
ID-33,-3,[IP-1 IP-2],[IP-2],topic-1
ID-34,3,[IP-2],[IP-2],topic-2
ID-35,-3,[IP-2],[IP-2],topic-1
ID-36,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-37,-3,[IP-2],[IP-1 IP-2],topic-1
ID-38,0,[],[],0
ID-39,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-40,-3,[IP-1],[IP-1 IP-2],topic-1
ID-101,-3,[IP-1],[IP-1],topic-1
ID-102,3,[IP-2],[IP-2],topic-2
ID-111,0,[],[],0
At tick 18
id of turtle,stance at tick 18,received-IP-list at tick 18,sent-IP-list at tick 18,topic at tick 18
ID-1,-3,[IP-1 IP-2],[],topic-1
ID-2,-3,[IP-1],[],topic-1
ID-3,3,[IP-1 IP-2],[],topic-2
ID-4,3,[IP-2 IP-1],[],topic-2
ID-5,-3,[IP-1 IP-2],[],topic-1
ID-6,-3,[IP-1 IP-2],[IP-1],topic-1
ID-7,-3,[IP-2],[],topic-1
ID-8,3,[IP-2],[],topic-2
ID-9,3,[IP-1 IP-2],[],topic-2
ID-10,-3,[IP-1 IP-2],[],topic-1
ID-11,-3,[IP-1 IP-2],[],topic-1
ID-12,-3,[IP-2],[],topic-1
ID-13,-3,[IP-2],[],topic-1
ID-14,-3,[IP-1 IP-2],[],topic-1
ID-15,3,[IP-1 IP-2],[],topic-2
ID-16,-3,[IP-1 IP-2],[],topic-1
ID-17,3,[IP-1 IP-2],[],topic-2
ID-18,3,[IP-2],[IP-2],topic-2
ID-19,3,[IP-1 IP-2],[IP-1 IP-2],topic-2
ID-20,3,[IP-2 IP-1],[IP-1],topic-2
ID-21,-3,[IP-1 IP-2],[IP-1],topic-1
ID-22,-3,[IP-2],[IP-2],topic-1
ID-23,-3,[IP-2],[],topic-1
ID-24,0,[],[],0
ID-25,3,[IP-2],[],topic-2
ID-26,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-27,-3,[IP-1 IP-2],[IP-1],topic-1
ID-28,3,[IP-2],[],topic-2
ID-29,3,[IP-2],[IP-2],topic-2
ID-30,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-31,0,[],[],0
ID-32,-3,[IP-2],[IP-2],topic-1
ID-33,-3,[IP-1 IP-2],[IP-2],topic-1
ID-34,3,[IP-2],[IP-2],topic-2
ID-35,-3,[IP-2],[IP-2],topic-1
ID-36,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-37,-3,[IP-2],[IP-1 IP-2],topic-1
ID-38,0,[],[],0
ID-39,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-40,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-101,-3,[IP-1],[IP-1],topic-1
ID-102,3,[IP-2],[IP-2],topic-2
ID-111,0,[],[],0
At tick 19
id of turtle,stance at tick 19,received-IP-list at tick 19,sent-IP-list at tick 19,topic at tick 19
ID-1,-3,[IP-1 IP-2],[],topic-1
ID-2,-3,[IP-1],[],topic-1
ID-3,3,[IP-1 IP-2],[],topic-2
ID-4,3,[IP-2 IP-1],[],topic-2
ID-5,-3,[IP-1 IP-2],[],topic-1
ID-6,-3,[IP-1 IP-2],[IP-1],topic-1
ID-7,-3,[IP-2],[],topic-1
ID-8,3,[IP-2],[],topic-2
ID-9,3,[IP-1 IP-2],[],topic-2
ID-10,-3,[IP-1 IP-2],[],topic-1
ID-11,-3,[IP-1 IP-2],[],topic-1
ID-12,-3,[IP-2],[],topic-1
ID-13,-3,[IP-2],[],topic-1
ID-14,-3,[IP-1 IP-2],[],topic-1
ID-15,3,[IP-1 IP-2],[],topic-2
ID-16,-3,[IP-1 IP-2],[],topic-1
ID-17,3,[IP-1 IP-2],[],topic-2
ID-18,3,[IP-2],[IP-2],topic-2
ID-19,3,[IP-1 IP-2],[IP-1 IP-2],topic-2
ID-20,3,[IP-2 IP-1],[IP-1],topic-2
ID-21,3,[IP-1 IP-2],[IP-1],topic-2
ID-22,-3,[IP-2],[IP-2],topic-1
ID-23,-3,[IP-2],[],topic-1
ID-24,0,[],[],0
ID-25,3,[IP-2],[],topic-2
ID-26,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-27,-3,[IP-1 IP-2],[IP-1],topic-1
ID-28,3,[IP-2],[],topic-2
ID-29,-3,[IP-2],[IP-2],topic-1
ID-30,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-31,0,[],[],0
ID-32,-3,[IP-2],[IP-2],topic-1
ID-33,-3,[IP-1 IP-2],[IP-2],topic-1
ID-34,3,[IP-2],[IP-2],topic-2
ID-35,-3,[IP-2],[IP-2],topic-1
ID-36,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-37,3,[IP-2],[IP-1 IP-2],topic-2
ID-38,0,[],[],0
ID-39,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-40,-3,[IP-1 IP-2],[IP-1 IP-2],topic-1
ID-101,-3,[IP-1],[IP-1],topic-1
ID-102,3,[IP-2],[IP-2],topic-2
ID-111,0,[],[],0
